地区,2025年,2024年,2023年,2022年,2021年,2020年,2019年,2018年,2017年,2016年,_c11
山西省,0.0,27.4,26.31,24.82,21.94,21.88,21.18,21.66,21.04,19.93,0.0
吉林省,0.0,22.24,20.39,21.81,18.14,17.69,17.18,16.62,17.01,16.49,0.0
重庆市,0.0,31.7,29.94,27.1,21.58,21.16,20.08,19.97,19.64,18.99,0.0
云南省,0.0,33.59,32.25,29.74,25.93,23.52,19.65,18.81,17.53,15.24,0.0
四川省,0.0,56.69,55.22,51.04,45.16,43.31,40.29,39.37,38.61,36.21,0.0
天津市,0.0,16.01,16.86,15.6,14.35,14.27,13.71,13.88,13.92,13.79,0.0
内蒙古自治区,0.0,15.37,15.11,14.03,13.03,13.08,12.47,12.29,11.78,11.15,0.0
江西省,0.0,42.89,42.27,37.91,31.02,30.92,30.33,31.1,29.6,25.64,0.0
西藏自治区,0.0,1.08,1.16,1.02,0.91,0.98,0.99,0.93,0.9,0.92,0.0
广东省,0.0,73.62,86.08,63.38,57.44,55.01,52.21,52.39,51.12,48.94,0.0
黑龙江省,0.0,25.73,25.46,25.25,19.65,19.26,19.48,20.07,19.72,19.96,0.0
甘肃省,0.0,19.14,18.95,16.59,14.0,13.35,12.33,12.23,12.48,11.99,0.0
山东省,0.0,76.78,74.52,73.43,61.79,60.54,57.8,58.59,57.12,50.91,0.0
广西壮族自治区,0.0,41.92,36.92,36.19,28.6,26.28,23.31,21.38,21.07,18.94,0.0
浙江省,0.0,37.51,35.9,34.63,30.04,28.66,28.34,28.06,27.66,27.33,0.0
海南省,0.0,7.31,7.43,6.89,5.33,5.13,5.04,4.93,5.04,4.87,0.0
福建省,0.0,31.68,29.78,28.09,22.47,20.77,20.02,20.43,20.44,19.95,0.0
辽宁省,0.0,30.81,36.91,31.86,25.83,25.6,25.71,27.59,26.88,26.35,0.0
青海省,0.0,2.15,2.22,2.08,2.01,1.96,1.9,1.74,1.47,1.41,0.0
河南省,0.0,87.04,83.29,77.8,67.84,63.82,59.34,55.99,50.41,48.69,0.0
陕西省,0.0,38.3,37.48,35.34,29.19,29.16,29.35,31.1,30.51,32.13,0.0
贵州省,0.0,26.18,25.29,25.12,21.12,19.45,16.97,15.97,14.9,11.68,0.0
湖北省,0.0,50.97,50.49,47.16,41.64,40.18,38.37,37.54,39.49,39.42,0.0
河北省,0.0,51.44,50.89,48.8,40.89,38.51,35.78,33.88,33.0,33.52,0.0
江苏省,0.0,62.2,63.01,57.36,52.36,51.29,48.85,49.13,48.95,48.16,0.0
湖南省,0.0,47.06,46.28,44.92,39.42,37.6,36.19,34.76,33.28,31.65,0.0
安徽省,0.0,48.56,44.99,41.89,32.7,32.68,32.16,33.52,32.28,30.8,0.0
上海市,0.0,14.99,14.84,14.73,13.57,13.56,13.17,13.25,13.42,13.26,0.0
新疆维吾尔自治区,0.0,17.75,16.36,12.76,9.98,9.09,8.44,8.13,7.87,7.37,0.0
宁夏回族自治区,0.0,5.25,4.52,4.05,3.48,3.41,3.2,3.08,3.16,2.94,0.0
北京市,0.0,16.01,15.89,15.85,15.09,15.06,14.71,14.92,15.54,15.53,0.0
