指标,2025年,2024年,2023年,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,_c16
普通小学在校学生数 (万人),10178.2887,10584.3743,10836.0253,10732.0594,10779.9349,10725.3532,10561.2358,10339.2541,10093.7,9913.0,9692.2,9451.1,9360.5,9695.9,9926.4,""
成人初中在校学生数 (万人),0.0,0.0,0.0,0.0,0.0,4.899,10.3002,15.4561,12.7001,28.0131,33.7012,46.2631,48.2278,63.0807,54.4456,""
高级中学在校学生数 (万人),0.0,1872.25,1794.33,1734.22,1646.46,1601.22,1560.83,1544.95,1547.27,1546.94,1555.85,1573.57,1581.43,1578.81,1559.12,""
完全中学初中阶段在校学生数 (万人),0.0,630.55,612.97,607.31,607.13,597.36,591.79,575.54,554.18,545.19,555.81,583.9,612.75,654.31,684.48,""
扫盲班在校学生数 (万人),0.0,0.0,0.0,0.0,0.0,13.4545,16.864,22.9141,30.4043,33.4201,47.4805,45.5524,61.9228,68.9067,74.889,""
学前教育在校学生数 (万人),3225.5223,3583.9937,4092.9784,4627.5486,4805.2063,4818.2634,4713.881,4656.4204,4600.1,4413.9,4264.8,4050.7,3894.7,3685.8,3424.5,""
成人中专在校学生数 (万人),0.0,0.0,0.0,0.0,0.0,112.6747,106.8475,113.125,127.2446,141.168,162.6741,194.3596,229.9806,254.2747,238.7275,""
十二年一贯制学校高中阶段在校学生数 (万人),0.0,179.24,171.15,160.91,153.27,134.88,119.93,105.81,95.06,85.57,76.15,69.24,63.02,60.47,56.52,""
十二年一贯制学校初中阶段在校学生数 (万人),0.0,155.8,155.52,158.85,169.53,158.37,144.76,126.23,107.56,94.38,82.71,75.51,66.65,63.37,58.63,""
九年一贯制学校小学阶段在校学生数 (万人),0.0,1344.95,1339.11,1301.6,1302.83,1255.41,1191.94,1114.07,1038.43,970.37,913.22,848.59,792.04,777.84,756.56,""
