数据库：年度数据 
时间：2011年-2025年 
初中阶段教育在校学生数 (万人) 	,5509.3370	,5386.1621	,5243.6916	,5120.5965	,5018.4373	,4914.0893	,4827.1362	,4652.5854	,4442.1000	,4329.4000	,4312.0000	,4384.6000	,4440.1000	,4763.1000	,5066.8000	,
普通初中在校学生数 (万人) 	,	,	,	,	,	,	,	,	,	,	,	,	,	,4763.0607	,5064.2058	,
初级中学在校学生数 (万人) 	,	,3583.36	,3510.87	,3430.56	,3343.49	,3319.62	,3300.77	,3224.95	,3121.54	,3088.24	,3103.32	,3172.00	,3234.04	,3503.22	,3769.71	,
九年一贯制学校初中阶段在校学生数 (万人) 	,	,1006.4280	,954.9400	,914.1608	,886.9279	,838.5205	,789.3721	,725.6642	,658.5126	,601.1849	,569.6085	,552.4430	,525.6281	,540.2756	,551.3859	,
十二年一贯制学校初中阶段在校学生数 (万人) 	,	,155.80	,155.52	,158.85	,169.53	,158.37	,144.76	,126.23	,107.56	,94.38	,82.71	,75.51	,66.65	,63.37	,58.63	,
完全中学初中阶段在校学生数 (万人) 	,	,630.55	,612.97	,607.31	,607.13	,597.36	,591.79	,575.54	,554.18	,545.19	,555.81	,583.90	,612.75	,654.31	,684.48	,
职业初中在校学生数 (万人) 	,	,0.0326	,0.0305	,0.0715	,0.0724	,0.2170	,0.4447	,0.2100	,0.2700	,0.4000	,0.5000	,0.8000	,1.1000	,1.9000	,2.6000	,
成人初中在校学生数 (万人) 	,	,	,	,	,	,4.8990	,10.3002	,15.4561	,12.7001	,28.0131	,33.7012	,46.2631	,48.2278	,63.0807	,54.4456	,
初等教育在校学生数 (万人) 	,	,	,	,	,	,10750.8746	,10603.4691	,10412.5004	,10169.1216	,9996.2809	,9786.9989	,9567.4926	,9484.8050	,9860.2286	,10094.2847	,
普通小学在校学生数 (万人) 	,10178.2887	,10584.3743	,10836.0253	,10732.0594	,10779.9349	,10725.3532	,10561.2358	,10339.2541	,10093.7000	,9913.0000	,9692.2000	,9451.1000	,9360.5000	,9695.9000	,9926.4000	,
小学在校学生数 (万人) 	,	,8897.18	,9104.48	,8989.47	,8982.05	,9311.02	,9225.89	,9098.69	,8946.02	,8846.85	,8693.17	,8526.10	,8499.88	,8852.76	,9111.55	,
九年一贯制学校小学阶段在校学生数 (万人) 	,	,1344.95	,1339.11	,1301.60	,1302.83	,1255.41	,1191.94	,1114.07	,1038.43	,970.37	,913.22	,848.59	,792.04	,777.84	,756.56	,
十二年一贯制学校小学阶段在校学生数 (万人) 	,	,156.12	,160.02	,162.76	,171.21	,158.92	,143.41	,126.50	,109.24	,95.79	,85.80	,76.38	,68.62	,65.29	,58.26	,
成人小学在校学生数 (万人) 	,	,	,	,	,	,25.5214	,42.2333	,73.2463	,75.4236	,83.2683	,94.8158	,116.4275	,124.2563	,164.3301	,167.9173	,
扫盲班在校学生数 (万人) 	,	,	,	,	,	,13.4545	,16.8640	,22.9141	,30.4043	,33.4201	,47.4805	,45.5524	,61.9228	,68.9067	,74.8890	,
工读学校在校学生数 (万人) 	,	,	,	,	,	,0.6012	,0.6488	,0.6818	,0.6048	,0.7181	,0.7920	,0.8494	,0.9307	,1.0640	,0.8976	,
特殊教育在校学生数 (万人) 	,92.6982	,91.5948	,91.1981	,91.8502	,91.9767	,88.0800	,79.4612	,66.5942	,57.9000	,49.2000	,44.2000	,39.5000	,36.8000	,37.9000	,39.9000	,
学前教育在校学生数 (万人) 	,3225.5223	,3583.9937	,4092.9784	,4627.5486	,4805.2063	,4818.2634	,4713.8810	,4656.4204	,4600.1000	,4413.9000	,4264.8000	,4050.7000	,3894.7000	,3685.8000	,3424.5000	,
注：1. 2017年起，研究生招生数包含全日制和非全日制研究生，在校生数包含全日制、非全日制研究生和在职人员攻读硕士学位学生。
2. 2023年起，高中阶段教育学生数不含国家开放大学中职部。
3. 完全中学、九年一贯制学校、十二年一贯制学校和附设教学班的学生数按教育层次分别计入对应教育阶段的学生数中。
4. 特殊教育涵盖特殊教育学校、附设特教班、随班就读和送教上门等各类形式。
5. 2019年起，学前教育招生数仅包括首次入园的适龄儿童，不再包括复学、转入等情况。
数据来源：国家统计局
